test,reference,k,p,z,s
nan,control,100,0.008193819940002567,-4.806288942982874,0.09724047306176084
INO80,control,100,0.16714479950823996,-1.1821035570962082,0.794425087108014
YEATS4,control,100,0.778252408623563,0.4964801411116586,0.9343629343629344
MTA3,control,100,0.9668239039887716,1.6329811583253633,0.6991404011461319
UCHL5,control,100,0.7665570050641931,0.5201662279063051,0.802675585284281
ERCC6,control,100,0.20465867687251832,-1.0133275088409255,0.7446153846153846
EP400,control,100,0.78924159614904,0.609548926537392,0.7823343848580442
DEK,control,100,0.6449051532416952,0.1607868851449039,0.8068965517241379
GATAD2B,control,100,0.1193003626138314,-1.3838044241771428,0.7652733118971061
SSRP1,control,100,0.029752085395799654,-2.525860058042335,0.8487394957983193
CBX3,control,100,0.7098335326921674,0.37034083832232617,0.7544910179640718
MTA1,control,100,0.4285524697038252,-0.37349542646351597,0.725609756097561
ACTR5,control,100,0.07320136167524618,-1.6395317360710397,0.7630769230769231
SMARCA2,control,100,0.22606308339978876,-0.9499229458174736,0.7727272727272727
BRD7,control,100,0.04787698734360732,-1.9104772911199424,0.8028169014084507
SRCAP,control,100,0.2647955850582516,-0.9518337013144592,0.8713692946058091
CHRAC1,control,100,0.9779095246783027,1.783221882243153,0.7731629392971247
RSF1,control,100,0.2719510227031978,-0.8190530406073059,0.8226950354609929
L3MBTL1,control,100,0.9928168996895332,2.160150569458525,0.7788778877887789
ACTR8,control,100,0.31397278405670753,-0.7230752995997672,0.8014705882352942
DPF1,control,100,0.3788475828002459,-0.4966615368201495,0.7639751552795031
KDM1A,control,100,0.26873823575722583,-0.8488904079654661,0.8142857142857143
ANP32E,control,100,0.43692961662745555,-0.44311547526113837,0.8249027237354085
NFRKB,control,100,0.9306478878906129,1.2930828903517892,0.7777777777777778
ACTR6,control,100,0.5697530854122907,-0.06659101309097627,0.8257575757575758
RB1,control,100,0.517350199013307,-0.1471724873487492,0.803921568627451
MTA2,control,100,0.9294630393193095,1.16876286511617,0.8252788104089219
MYO1C,control,100,0.06624296947805718,-1.6867520963767075,0.7331378299120235
TFPT,control,100,0.39915828789564434,-0.44199851067186813,0.7365269461077845
BRD8,control,100,0.8012988449631258,0.5863656141971476,0.8195488721804511
RBBP4,control,100,0.99999999999998,0.23834320268738052,0.8720379146919431
DPF2,control,100,0.15303769504471693,-1.2167425077733414,0.7421383647798742
MCRS1,control,100,0.1946004993212758,-1.2161826898738208,0.8630705394190872
SS18L1,control,100,0.9628032409721056,1.5346544476003392,0.8013698630136986
BAZ1B,control,100,0.15630656257195608,-1.2070798402192002,0.8079470198675497
INO80D,control,100,0.49250418678187147,-0.20629522157404295,0.7784810126582279
SMARCD3,control,100,0.7500901569993953,0.46165109503382445,0.7837837837837838
MLLT1,control,100,0.10595481237455504,-1.4502214951772021,0.7857142857142857
CECR2,control,100,0.45573268013618023,-0.31905995398213893,0.8109965635738832
SIRT7,control,100,0.12372317171798397,-1.3262960746492596,0.7423822714681441
MBD3,control,100,0.4210141483053762,-0.438788608719139,0.8120300751879699
POLE3,control,100,0.3300928473266929,-0.6437963129868359,0.7972972972972973
